player_id,team_id,player_name,player_shirt_number,player_age,player_height,player_nationality,player_positions,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,Crosses,LongB,ThrB,strengths,weaknesses,player_style,name_lower,RecordID,ClubName,League/Country,BootsName,BootsMaterial,BootsBrand,BootsPack,BootsType,BootsPosition,BootsTopPlayers,PlayerMarketValue
1,1,Michael Olise,17,23 years old (12-12-2001),184cm,France,"Attacking Midfielder (Centre, Left, Right)",54,3492,19,18,4,0,2.6,86.3,0.4,12,7.59,1.0,0.3,0.7,0.0,0.3,0.6,0.0,0,2.4,1.8,0.1,0.9,1.7,43.1,1.0,0.8,0.4,"['Through balls', 'Key passes', 'Dribbling', 'Passing', 'Direct free-kicks', 'Crossing', 'Finishing', 'Long shots', 'Taking set-pieces', 'Holding on to the ball']",[],"['Likes to cut inside', 'Gets fouled often', 'Likes to do layoffs']",michael olise,1679742361-3869,Crystal Palace,Premier League,Hypervenom Phantom III DF,Synthetic / Flyknit,Nike,,Agility,Attack,Michael Olise,€27 million
2,1,Harry Kane,9,31 years old (28-07-1993),188cm,England,"Attacking Midfielder (Centre), Forward",61,4645,47,10,9,0,3.6,79.6,1.1,14,7.55,0.4,0.2,0.4,0.0,0.4,0.2,0.1,0,1.2,0.9,0.4,0.8,1.4,19.5,0.1,1.5,0.2,"['Through balls', 'Finishing', 'Headed attempts', 'Holding on to the ball', 'Long shots', 'Key passes']",['Defensive contribution'],"['Likes to play long balls', 'Plays the ball off the ground often', 'Does not dive into tackles']",harry kane,1679742361-4018,Tottenham Hotspur,Premier League,Phantom GX,Gripknit,Nike,Blast,Control,Midfield,Erling Haaland,€90 million
3,1,Jamal Musiala,42,22 years old (26-02-2003),184cm,Germany,"Midfielder (Centre, Left, Right)",50,3266,22,5,4,0,2.7,84.4,0.3,6,7.49,1.5,0.4,0.8,0.0,0.2,0.5,0.0,0,1.7,2.3,0.1,1.6,2.3,36.7,0.0,0.5,0.3,"['Through balls', 'Dribbling', 'Key passes', 'Finishing', 'Long shots', 'Defensive contribution']","['Aerial Duels', 'Crossing']","['Gets fouled often', 'Likes to dribble', 'Likes to cut inside', 'Likes to play short passes', 'Likes to do layoffs', 'Indirect set-piece threat']",jamal musiala,1679742361-511,Bayern München,Bundesliga,Zoom Mercurial Superfly 9,Vaporsite+,Nike,Blast,Speed,Attack,Cristiano Ronaldo,€100 million
4,1,Joshua Kimmich,6,30 years old (08-02-1995),177cm,Germany,"Defender (Centre, Right), Defensive Midfielder (C), Midfielder (Right)",60,4767,4,16,5,0,1.2,92.5,0.4,5,7.38,1.4,0.9,0.4,0.0,0.9,0.9,0.2,0,2.7,0.8,0.1,0.3,0.6,95.8,1.6,5.3,0.2,"['Passing', 'Key passes', 'Crossing', 'Holding on to the ball', 'Taking set-pieces', 'Long shots', 'Concentration']",['Aerial Duels'],"['Likes to shoot from distance', 'Likes to cross', 'Plays the ball off the ground often', 'Likes to play long balls', 'Likes to do layoffs', 'Does not dive into tackles']",joshua kimmich,1679742361-510,Bayern München,Bundesliga,Mercurial Vapor 14,Flyknit,Nike,Progress,Speed,Attack,Cristiano Ronaldo,€80 million
5,1,Dayot Upamecano,2,26 years old (27-10-1998),186cm,France,Defender (Centre),43,3490,2,0,9,0,0.6,93.4,2.7,1,7.1,1.8,1.4,0.8,0.4,2.7,0.6,0.3,0,0.5,0.4,0.0,0.2,0.5,85.5,0.1,3.5,0.0,"['Passing', 'Aerial Duels', 'Concentration']",[],['Likes to play short passes'],dayot upamecano,1679742361-518,Bayern München,Bundesliga,Phantom GT2 DF,Flyknit,Nike,Generation,,Midfield,Erling Haaland,€60 million
6,1,Alphonso Davies,19,24 years old (02-11-2000),183cm,Canada,"Defender (Left), Midfielder (Left, Right)",41,2790,3,2,2,0,0.9,88.9,0.4,0,6.99,1.9,0.8,0.4,0.1,1.1,0.4,0.2,0,1.2,1.2,0.1,1.0,1.7,51.9,0.2,0.7,0.1,"['Passing', 'Dribbling', 'Key passes', 'Holding on to the ball']",[],"['Likes to dribble', 'Likes to play short passes']",alphonso davies,1679742361-520,Bayern München,Bundesliga,Zoom Mercurial Vapor 15,Vaporsite+,Nike,Blast,Speed,Attack,Cristiano Ronaldo,€70 million
7,1,Leroy Sané,10,29 years old (11-01-1996),183cm,Germany,"Midfielder (Centre, Left, Right), Forward",53,2621,13,5,4,0,2.1,87.2,0.2,1,6.86,0.8,0.2,0.5,0.0,0.1,0.5,0.0,0,1.0,0.7,0.1,0.9,1.7,26.6,0.2,0.2,0.1,"['Key passes', 'Passing', 'Finishing', 'Dribbling', 'Through balls', 'Long shots', 'Crossing']",['Defensive contribution'],"['Likes to cut inside', 'Likes to play short passes', 'Likes to do layoffs', 'Likes to dribble', 'Does not dive into tackles']",leroy sané,1679742361-504,Bayern München,Bundesliga,Zoom Mercurial Vapor 15,Vaporsite+,Nike,,Speed,Attack,Cristiano Ronaldo,€70 million
8,1,Kingsley Coman,11,28 years old (13-06-1996),181cm,France,"Midfielder (Left, Right), Forward",43,1781,7,4,2,0,1.5,88.0,0.4,0,6.85,0.7,0.2,0.5,0.0,0.5,0.3,0.0,0,1.1,0.5,0.2,0.7,1.0,22.9,0.4,0.3,0.0,"['Passing', 'Key passes', 'Dribbling', 'Holding on to the ball', 'Long shots']",['Defensive contribution'],"['Likes to do layoffs', 'Likes to cut inside', 'Likes to play short passes', 'Does not dive into tackles']",kingsley coman,1679742361-503,Bayern München,Bundesliga,Ultra Ultimate,ULTRAWEAVE,Puma,Supercharge,Speed,Attack,Antoine Griezmann,€60 million
9,1,Min-Jae Kim,3,28 years old (15-11-1996),190cm,South Korea,Defender (Centre),44,3363,3,0,5,0,0.3,93.1,2.9,3,6.94,1.4,1.5,0.9,0.4,3.2,0.4,0.4,0,0.2,0.2,0.0,0.2,0.4,86.8,0.0,2.5,0.0,"['Passing', 'Aerial Duels', 'Ball interception']",['Concentration'],['Likes to play short passes'],min-jae kim,1679742361-4588,SSC Napoli,Serie A,Phantom VNM,Flyknit,Nike,Neighborhood,Striking,Attack,Erling Haaland,€50 million
10,1,Raphaël Guerreiro,22,31 years old (22-12-1993),170cm,Portugal,"Defender (Left, Right), Midfielder (Centre, Left)",33,2100,5,3,2,0,0.8,89.7,0.3,1,6.8,0.8,0.5,0.3,0.1,0.6,0.1,0.0,0,1.2,0.2,0.0,0.6,0.7,49.6,0.3,0.6,0.2,"['Holding on to the ball', 'Passing', 'Long shots', 'Crossing', 'Key passes', 'Concentration']",['Aerial Duels'],"['Likes to do layoffs', 'Likes to play short passes', 'Does not dive into tackles']",raphaël guerreiro,1679742361-489,Borussia Dortmund,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,€20 million
