player_id,team_id,player_name,player_shirt_number,player_age,player_height,player_nationality,player_positions,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,Crosses,LongB,ThrB,strengths,weaknesses,player_style,name_lower,RecordID,ClubName,League/Country,BootsName,BootsMaterial,BootsBrand,BootsPack,BootsType,BootsPosition,BootsTopPlayers,PlayerMarketValue
1,1,Mohamed Salah,11,32,175,Egypt,"['Attacking Midfielder Centre', 'Attacking Midfielder Left', 'Attacking Midfielder Right', 'Forward']",56,4322,39,23,1,0,3.2,74.9,0.2,11,7.49,0.6,0.2,0.6,0.0,0.1,0.3,0.0,0,2.1,0.9,0.4,1.5,2.7,29.3,0.4,0.8,0.2,"['Key passes', 'Finishing', 'Through balls']","['Holding on to the ball', 'Defensive contribution']","['Likes to cut inside', 'Plays the ball off the ground often', 'Does not dive into tackles']",mohamed salah,1679742361-4066,Liverpool,Premier League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,€70 million
2,1,Luis Díaz,7,28,178,Colombia,"['Attacking Midfielder Left', 'Attacking Midfielder Right', 'Forward']",71,3667,25,5,5,0,1.8,84.9,0.5,7,7.16,1.1,0.2,1.6,0.0,0.2,0.7,0.0,0,1.4,1.1,0.3,1.5,1.6,23.4,0.3,1.0,0.0,"['Passing', 'Dribbling']",['Defensive contribution'],"['Likes to cut inside', 'Likes to play long balls', 'Counter attack threat', 'Commits fouls often']",luis díaz,1679742361-4064,Liverpool,Premier League,X Speedportal.1,Speedskin,adidas,Game Data,Speed,Attack,Lionel Messi,€75 million
3,1,Alexis Mac Allister,10,26,176,Argentina,"['Midfielder Centre', 'Midfielder Left', 'Forward']",70,4045,10,8,13,0,1.1,87.5,0.5,2,7.08,2.4,0.7,1.5,0.1,0.7,1.4,0.3,0,1.3,1.1,0.0,0.6,0.8,39.1,0.6,1.4,0.2,"['Long shots', 'Key passes', 'Passing', 'Tackling']",[],"['Likes to shoot from distance', 'Gets fouled often', 'Likes to tackle', 'Commits fouls often']",alexis mac allister,1679742361-3904,Brighton & Hove Albion,Premier League,X Speedflow.1,Synthetic,adidas,Diamond Edge,Speed,Attack,Lionel Messi,€42 million
4,1,Trent Alexander-Arnold,66,26,175,England,"['Defender Right', 'Defensive Midfielder C', 'Midfielder Right']",53,3482,6,8,5,0,1.3,79.3,0.2,2,6.96,1.9,0.9,0.3,0.2,1.1,1.5,0.2,0,1.4,0.3,0.0,0.4,0.6,48.2,1.0,3.9,0.2,"['Crossing', 'Key passes', 'Direct free-kicks', 'Taking set-pieces', 'Passing']","['Aerial Duels', 'Tackling']","['Plays the ball off the ground often', 'Likes to play long balls', 'Likes to tackle']",trent alexander-arnold,1679742361-4087,Liverpool,Premier League,Clone Magnetico Pro 2,UA CLONE,Under Armour,,,,Trent Alexander-Arnold,€65 million
5,1,Virgil van Dijk,4,33,195,Netherlands,['Defender Centre'],60,5099,7,1,9,0,0.7,91.4,2.8,2,7.04,0.9,1.3,0.7,0.8,4.8,0.2,0.6,0,0.3,0.3,0.0,0.1,0.2,75.1,0.0,4.2,0.0,"['Aerial Duels', 'Passing', 'Concentration', 'Ball interception']",['Tackling'],['Does not dive into tackles'],virgil van dijk,1679742361-4088,Liverpool,Premier League,Tiempo Legend 9,Kangaroo Leather,Nike,Lucent,Modern C,Defence,Virgil van Dijk,€45 million
6,1,Ryan Gravenberch,38,23,190,Netherlands,['Defensive Midfielder C'],54,4499,0,5,6,0,0.5,89.4,0.6,1,6.99,1.8,1.6,1.2,0.1,1.2,0.6,0.3,0,0.7,1.2,0.0,0.7,1.3,50.5,0.1,1.1,0.2,"['Ball interception', 'Long shots', 'Dribbling', 'Concentration']",[],"['Likes to dribble', 'Likes to shoot from distance', 'Likes to play short passes']",ryan gravenberch,1679742361-508,Bayern München,Bundesliga,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,€30 million
7,1,Dominik Szoboszlai,8,24,186,Hungary,"['Attacking Midfielder Centre', 'Attacking Midfielder Left', 'Attacking Midfielder Right', 'Forward']",62,4252,12,8,7,0,1.8,84.8,0.5,4,6.96,1.0,0.4,1.1,0.0,0.6,0.6,0.2,0,1.9,0.8,0.1,0.8,1.1,35.9,0.7,1.6,0.1,"['Long shots', 'Passing', 'Key passes', 'Concentration']",['Tackling'],"['Counter attack threat', 'Likes to shoot from distance', 'Does not dive into tackles']",dominik szoboszlai,1679742361-419,RB Leipzig,Bundesliga,Zoom Mercurial Vapor 15,Vaporsite+,Nike,Blast,Speed,Attack,Cristiano Ronaldo,€35 million
8,1,Ibrahima Konaté,5,25,194,France,['Defender Centre'],44,3268,2,2,8,0,0.6,90.7,2.3,0,6.83,1.0,0.5,0.8,0.7,4.0,0.4,0.6,0,0.3,0.6,0.0,0.1,0.2,54.9,0.0,1.6,0.0,"['Aerial Duels', 'Passing', 'Concentration']",[],"['Likes to play short passes', 'Commits fouls often']",ibrahima konaté,1679742361-4086,Liverpool,Premier League,Phantom GT2,Flyknit,Nike,Generation,,Midfield,Erling Haaland,€35 million
9,1,Cody Gakpo,18,26,193,Netherlands,"['Attacking Midfielder Centre', 'Attacking Midfielder Left', 'Attacking Midfielder Right', 'Forward']",58,3235,22,6,6,0,1.8,82.1,0.6,8,7.08,0.8,0.4,0.6,0.1,0.4,0.5,0.0,0,1.4,0.9,0.3,0.7,1.3,16.9,0.4,0.4,0.0,"['Finishing', 'Headed attempts', 'Defensive contribution']",[],"['Gets fouled often', 'Plays the ball off the ground often', 'Likes to cut inside', 'Likes to tackle']",cody gakpo,1679742361-4065,Liverpool,Premier League,Ultra Ultimate,ULTRAWEAVE,Puma,Fearless,Speed,Attack,Antoine Griezmann,€60 million
10,1,Alisson Becker,1,32,193,Brazil,['Goalkeeper'],44,3381,0,0,0,0,0.0,80.4,0.2,2,6.81,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,30.2,0.0,3.4,0.0,"['Shot stopping (Reflexes)', 'Saving long shots', 'Saving close range shots']","['Long passing', 'Catching crosses']",[],alisson becker,1679742361-4091,Liverpool,Premier League,Tiempo Legend 9,Kangaroo Leather,Nike,Generation,Modern C,Defence,Virgil van Dijk,€45 million
