player_id,team_id,player_name,player_shirt_number,player_age,player_height,player_nationality,player_positions,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,Crosses,LongB,ThrB,strengths,weaknesses,player_style,name_lower,RecordID,ClubName,League/Country,BootsName,BootsMaterial,BootsBrand,BootsPack,BootsType,BootsPosition,BootsTopPlayers,PlayerMarketValue
2,1,Raphinha,11.0,28,176,Brazil,"['Attacking Midfielder Centre', 'Attacking Midfielder Left', 'Attacking Midfielder Right', 'Forward']",54,4266,32,17,4,0,3.2,78.9,0.2,16,7.7,1.1,0.4,0.4,0.0,0.5,0.5,0.0,0,2.5,1.1,0.3,0.9,1.4,34.7,1.4,1.4,0.1,"['Key passes', 'Finishing', 'Crossing', 'Through balls', 'Taking set-pieces', 'Long shots', 'Holding on to the ball', 'Passing']",['Discipline'],"['Likes to cut inside', 'Plays the ball off the ground often', 'Does not dive into tackles']",raphinha,1679742361-1706,FC Barcelona,La Liga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,€50 million
3,1,Robert Lewandowski,9.0,36,185,Poland,['Forward'],61,4087,43,4,4,0,3.0,75.3,1.2,7,7.2,0.4,0.1,1.0,0.0,0.7,0.2,0.0,0,0.7,1.2,0.4,1.4,1.9,15.2,0.0,0.3,0.0,"['Finishing', 'Long shots', 'Headed attempts']",['Defensive contribution'],"['Likes to do layoffs', 'Does not dive into tackles']",robert lewandowski,1679742361-1709,FC Barcelona,La Liga,Zoom Mercurial Vapor 15,Vaporsite+,Nike,Blast,Speed,Attack,Cristiano Ronaldo,€40 million
4,1,Pedri,8.0,22,174,Spain,"['Midfielder Centre', 'Midfielder Left']",66,4228,8,9,3,0,0.7,89.3,0.1,0,7.11,1.8,0.6,0.3,0.0,0.3,1.2,0.1,0,1.9,1.3,0.1,0.9,1.3,64.3,0.3,3.5,0.3,"['Passing', 'Key passes', 'Dribbling', 'Through balls', 'Long shots', 'Concentration']","['Aerial Duels', 'Tackling']","['Gets fouled often', 'Likes to do layoffs']",pedri,1679742361-1714,FC Barcelona,La Liga,Predator Accuracy+,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,€100 million
5,1,Dani Olmo,20.0,27,179,Spain,"['Attacking Midfielder Centre', 'Attacking Midfielder Left', 'Attacking Midfielder Right', 'Forward']",47,2168,15,6,2,0,1.9,83.4,0.4,3,7.03,0.7,0.2,0.7,0.0,0.3,0.4,0.1,0,1.2,1.0,0.0,0.9,1.4,26.0,0.2,1.0,0.3,"['Dribbling', 'Long shots', 'Through balls', 'Finishing', 'Key passes', 'Defensive contribution']",[],"['Likes to play long balls', 'Likes to dribble', 'Likes to do layoffs']",dani olmo,1679742361-420,RB Leipzig,Bundesliga,F50 Adizero IV Leather,Leather,adidas,Speed Legacy,Speed,Attack,Jordi Alba,€40 million
6,1,Iñigo Martínez,5.0,34,182,Spain,['Defender Centre'],46,3451,3,5,9,0,0.4,91.3,1.9,1,6.89,0.9,0.6,0.7,1.5,3.6,0.4,0.4,0,0.5,0.9,0.0,0.1,0.3,83.7,0.0,4.5,0.0,"['Passing', 'Concentration']",['Tackling'],['Does not dive into tackles'],iñigo martínez,1679742361-1627,Athletic Club,La Liga,Phantom VNM,Flyknit,Nike,Phantom Fire,Striking,Attack,Erling Haaland,€18 million
7,1,Jules Koundé,23.0,26,180,France,"['Defender Centre', 'Defender Right']",65,4494,4,6,5,0,0.5,88.4,1.2,3,6.9,1.8,0.6,0.7,0.7,2.2,0.6,0.2,0,1.0,0.6,0.1,0.5,1.2,56.5,0.4,1.6,0.0,"['Passing', 'Holding on to the ball', 'Aerial Duels', 'Key passes']",['Tackling'],"['Likes to play short passes', 'Does not dive into tackles']",jules koundé,1679742361-1722,FC Barcelona,La Liga,Predator Accuracy.1,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,€60 million
10,1,Ferran Torres,7.0,25,184,Spain,"['Attacking Midfielder Left', 'Attacking Midfielder Right', 'Forward']",52,1730,21,7,3,1,1.5,79.3,0.3,0,6.64,0.2,0.1,0.2,0.0,0.2,0.2,0.1,0,0.5,0.5,0.2,0.4,0.8,10.5,0.1,0.2,0.0,"['Direct free-kicks', 'Key passes', 'Finishing', 'Long shots', 'Crossing', 'Holding on to the ball']","['Aerial Duels', 'Defensive contribution']","['Likes to cut inside', 'Counter attack threat', 'Does not dive into tackles']",ferran torres,1679742361-1705,FC Barcelona,La Liga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,€30 million
11,1,Alejandro Balde,3.0,21,175,Spain,"['Defender Left', 'Defender Right', 'Midfielder Left']",46,3015,1,6,4,0,0.3,90.8,0.4,0,6.74,0.6,0.2,0.4,0.8,0.7,0.2,0.2,0,0.7,1.0,0.0,0.9,1.2,38.8,0.3,0.6,0.0,"['Dribbling', 'Passing', 'Key passes', 'Concentration']",['Tackling'],"['Likes to dribble', 'Likes to play short passes', 'Does not dive into tackles']",alejandro balde,1679742361-1720,FC Barcelona,La Liga,Zoom Mercurial Vapor 15,Vaporsite+,Nike,Blast,Speed,Attack,Cristiano Ronaldo,€30 million
13,1,Eric García,24.0,24,182,Spain,"['Defender Centre', 'Defender Right', 'Defensive Midfielder C']",37,1740,4,3,4,1,0.5,91.9,0.8,0,6.63,1.1,0.5,0.7,0.2,1.2,0.3,0.2,0,0.2,0.3,0.0,0.1,0.5,38.9,0.1,0.8,0.1,"['Holding on to the ball', 'Passing', 'Long shots', 'Concentration']",[],[],eric garcía,1679742361-1717,FC Barcelona,La Liga,Copa Pure+,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,€12 million
15,1,Andreas Christensen,15.0,29,187,Denmark,"['Defender Centre', 'Defensive Midfielder C']",10,584,0,0,3,0,0.4,93.1,2.3,0,6.58,1.1,1.1,0.8,0.6,2.0,0.0,0.1,0,0.1,0.3,0.0,0.0,0.1,48.7,0.0,0.9,0.0,"['Aerial Duels', 'Passing', 'Concentration']",['Tackling'],"['Likes to play short passes', 'Likes to do layoffs', 'Does not dive into tackles']",andreas christensen,1679742361-1719,FC Barcelona,La Liga,Copa Pure+,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,€30 million
